Accession	Name	Description	ID
ARO:0000000	macrolide antibiotic	Macrolides are a group of drugs (typically antibiotics) that have a large macrocyclic lactone ring of 12-16 carbons to which one or more deoxy sugars, usually cladinose and desosamine, may be attached. Macrolides bind to the 50S-subunit of bacterial ribosomes, inhibiting the synthesis of vital proteins.	35919
ARO:0000001	fluoroquinolone antibiotic	The fluoroquinolones are a family of synthetic broad-spectrum antibiotics that are 4-quinolone-3-carboxylates. These compounds interact with topoisomerase II (DNA gyrase) to disrupt bacterial DNA replication, damage DNA, and cause cell death.	35920
ARO:0000002	tetracycline-resistant ribosomal protection protein	A family of proteins known to bind to the 30S ribosomal subunit. This interaction prevents tetracycline and tetracycline derivatives from inhibiting ribosomal function. Thus, these proteins confer elevated resistance to tetracycline derivatives as a ribosomal protection protein.	35921
ARO:0000003	astromicin	Astromicin is an aminoglycoside antibiotic used to treat different types of bacterial infections. Astromicin works by binding to the bacterial 30S ribosomal subunit, causing misreading of mRNA and leaving the bacterium unable to synthesize proteins vital to its growth.	35922
ARO:0000004	monobactam	Monobactams are a class of beta-lactam antibiotics with a broad spectrum of antibacterial activity, and have a structure which renders them highly resistant to beta-lactamases. Unlike penams and cephems, monobactams do not have any ring fused to its four-member lactam structure. Monobactam antibiotics are bactericidal, and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms.	35923
ARO:0000005	neomycin	Neomycin is an aminoglycoside antibiotic used to treat different types of bacterial infections. Neomycin works by binding to the bacterial 30S ribosomal subunit, causing misreading of mRNA and leaving the bacterium unable to synthesize proteins vital to its growth.	35924
ARO:0000006	erythromycin	Erythromycin is a macrolide antibiotic with a 14-carbon ring that has an antimicrobial spectrum similar to or slightly wider than that of penicillin, and is often used for people that have an allergy to penicillins. Erythromycin may possess bacteriocidal activity, particularly at higher concentrations by binding to the 50S subunit of the bacterial 70S rRNA complex, inhibiting peptidyl-tRNA translocation. Thus, protein synthesis and subsequently structure/function processes critical for life or replication are inhibited.	35925
ARO:0000007	dibekacin	Dibekacin is an aminoglycoside antibiotic used to treat different types of bacterial infections. Dibekacin works by binding to the bacterial 30S ribosomal subunit, causing misreading of mRNA and leaving the bacterium unable to synthesize proteins vital to its growth.	35926
ARO:0000008	cefoxitin	Cefoxitin is a cephamycin antibiotic often grouped with the second generation cephalosporins. Cefoxitin is bactericidal and acts by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms. Cefoxitin's 7-alpha-methoxy group and 3' leaving group make it a poor substrate for most beta-lactamases.	35927
ARO:0000009	tunicamycin	Tunicamycin is mixture of homologous nucleoside antibiotics that block the reaction of UDP-N-acetylglucosamine and dolichyl phosphate in the first step of glycoprotein synthesis.	35928
ARO:0000010	antibiotic resistance gene cluster, cassette, or operon	Clusters of antibiotic resistance genes. May be regulated by a shared promoter or repressor.	35929
ARO:0000011	cloxacillin	Cloxacillin is a semisynthetic, isoxazolyl penicillin derivative in the beta-lactam class of antibiotics. It interferes with peptidogylcan synthesis and is commonly used for treating penicillin-resistant Staphylococcus aureus infections.	35930
ARO:0000012	streptothricin	Streptothricins are a group of N-glycoside antibiotics that include a carbamoylated D-glucosamine to which are attached a series of L-beta-lysine residues at position 2 and a streptolidine at position 1.  Streptothricins vary by the number of beta-lysine residues (from 1 (nourseothricin) to 7) and target protein synthesis in bacteria and eukaryotes.	35931
ARO:0000013	amikacin	Amikacin is an aminoglycoside antibiotic that works by binding to the bacterial 30S ribosomal subunit, causing misreading of mRNA and leaving the bacterium unable to synthesize proteins vital to its growth.	35932
ARO:0000014	gentamicin C	Gentamicin C is a mixture of gentamicin C1, gentamicin C1a, and gentamicin C2 (these differ in substituents at position C6'). Gentamicin works by binding to the bacterial 30S ribosomal subunit, causing misreading of mRNA and leaving the bacterium unable to synthesize proteins vital to its growth.	35933
ARO:0000015	methicillin	Derived from penicillin to combat penicillin-resistance, methicillin is insensitive to beta-lactamases (also known as penicillinases) secreted by many penicillin-resistant bacteria. Methicillin is bactericidal, and acts by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms.	35934
ARO:0000016	aminoglycoside antibiotic	Aminoglycosides are a group of antibiotics that are mostly effective against Gram-negative bacteria. These molecules consist of aminated sugars attached to a dibasic cyclitol. Aminoglycosides work by binding to the bacterial 30S ribosomal subunit (some work by binding to the 50S subunit), inhibiting the translocation of the peptidyl-tRNA from the A-site to the P-site and also causing misreading of mRNA, leaving the bacterium unable to synthesize proteins vital to its growth.	35935
ARO:0000017	lincosamide antibiotic	Lincosamides (e.g. lincomycin, clindamycin) are a class of drugs which bind to the 23s portion of the 50S subunit of bacterial ribosomes. This interaction inhibits early elongation of peptide chains by inhibiting the transpeptidase reaction, acting similarly to macrolides.	35936
ARO:0000018	viomycin	Viomycin sulfate (Viocin) is an polypeptide antibiotic used in the treatment of tuberculosis. It is produced by the actinomycete Streptomyces puniceus and binds to the bacterial ribosome, inhibiting prokaryotic protein synthesis and certain forms of RNA splicing.	35937
ARO:0000020	carbapenem	Carbapenems are a class of beta-lactam antibiotics with a broad spectrum of antibacterial activity, and have a structure which renders them highly resistant to beta-lactamases. Carbapenem antibiotics are bactericidal, and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms.	35939
